id,name,category
1,"10cc","Group"
2,"Allman Brothers","Group"
3,"Emanuel Ax","Solo"
4,"Gato Barbieri","Solo"
5,"The Beatles","Group"
6,"Arturo Benedetti Michelangeli","Solo"
7,"Dhar Braxton","Solo"
8,"Jimmy Buffet","Solo"
9,"Gary Burton","Solo"
10,"The Cars","Group"
11,"Jo Ann Castle","Solo"
12,"Harry Chapin","Solo"
13,"Chester & Lester","Group"
14,"The Chieftains","Group"
15,"Aldo Ciccolini","Solo"
16,"Stanley Clarke","Solo"
17,"The Clash","Group"
18,"Vassar Clements","Solo"
19,"Elvis Costello","Solo"
20,"Crystal Castles","Group"
21,"Daft Punk","Group"
22,"The David Grisman Quintet","Group"
23,"De La Soul","Group"
24,"Death Grips","Group"
25,"Del the Funky Homo Sapien","Solo"
26,"Dire Straits","Group"
27,"Dr. Dre","Solo"
28,"Earth, Wind, & Fire","Group"
29,"Robert Ellis Orrall","Solo"
30,"Ensemble Nipponia","Group"
31,"Explosions in the Sky","Group"
32,"Fleetwood Mac","Group"
33,"Art Garfunkel","Solo"
34,"Grand Funk Railroad","Group"
35,"Stephane Grappelli","Solo"
36,"Grateful Dead","Group"
37,"David Grisman","Solo"
38,"Jim Hall","Solo"
39,"Francoise Hardy","Solo"
40,"Jimi Hendrix","Solo"
41,"Dan Hicks","Solo"
42,"Alfred Hitchcock","Solo"
43,"Billie Holiday","Solo"
44,"If","Group"
45,"The Infested","Group"
46,"Charles Ives","Solo"
47,"The J. Geils Band","Group"
48,"Jack's Mannequin","Group"
49,"Joe Jackson","Solo"
50,"Keith Jarrett","Solo"
51,"Jethro Tull","Group"
52,"Rickie Lee Jones","Solo"
53,"Joe Jones","Solo"
54,"Kenny Rogers & The First Edition","Group"
55,"Wiz Khalifa","Solo"
56,"The Kids from Wisconsin","Group"
57,"Nat King Cole","Solo"
58,"The Knack","Group"
59,"Mark Knopfler","Solo"
60,"Kraftwerk","Group"
61,"Led Zeppelin","Group"
62,"Little Feat","Group"
63,"Art Herb Alpert & the Tijuana Brass","Group"
64,"Wilbert Longmire","Solo"
65,"Mastodon","Group"
66,"Joni Mitchell","Solo"
67,"The Moody Blues","Group"
68,"Mott the Hoople","Group"
69,"Norman Nardini","Solo"
70,"Garrick Ohlsson","Solo"
71,"Roy Orbison","Solo"
72,"Outkast","Group"
73,"The Persuasions","Group"
74,"Oscar Peterson","Solo"
75,"Pink Floyd","Group"
76,"Poco Cantamos","Group"
77,"The Police","Group"
78,"Maurizio Pollini","Solo"
79,"The Pretenders","Group"
80,"Lui Pui-yuen","Solo"
81,"The Quicksilver Messenger Service","Group"
82,"Radiohead","Group"
83,"Ratatat","Group"
84,"The Red Clay Ramblers","Group"
85,"Renaissance","Group"
86,"Slim Rootboy","Solo"
87,"Artur Rubinstein","Solo"
88,"Santana","Group"
89,"Peter Serkin","Solo"
90,"Sia","Solo"
91,"Simon and Garfunkel","Group"
92,"Paul Simon","Solo"
93,"The Smiths","Group"
94,"Spirit","Group"
95,"Steely Dan","Group"
96,"Cat Stevens","Solo"
97,"Tame Impala","Solo"
98,"The Three Suns","Group"
99,"Traffic","Group"
100,"The Turtles","Group"
101,"Various","Group"
102,"Tom Waits","Solo"
103,"The Who","Group"
104,"Vaughan Williams","Solo"
105,"Weird Al Yankovic","Solo"
106,"Frank Zappa","Solo"
107,"Warren Zevon","Solo"
108,"Paul Desmond","Solo"
109,"Miles Davis","Solo"
110,"Elton John","Solo"
111,"Ella Fitzgerald","Solo"
112,"Wild Man Fischer","Solo"
113,"The Crusaders","Group"
114,"Weather Report","Group"
115,"Eberhard Weber","Solo"
116,"Minnie Riperton","Solo"
117,"Gordon Lightfoot","Solo"
118,"Crosby, Stills, Nash, & Young","Group"
